canonical_key,first_published_date,title,url,source,section,tags,notes
gallup-state-global-workplace-2026-manager-pivot-2026-06-16,2026-04-22,갤럽 '글로벌 일터 현황 2026' — 관리자가 AI 전환 최대 변수,https://www.gallup.com/workplace/472659/state-of-the-global-workplace.aspx,Gallup,3,#관리자;#변화주도자;#몰입,관리자 지원시 업무전환 체감 8.7배·몰입 20%↓ 주원인=관리자 비관여
salesforce-ibm-entry-level-hiring-debate-2026-06-16,2026-05-28,AI 시대 신입채용 논쟁 — 세일즈포스 감원 vs 엔트리레벨 확대론,https://fortune.com/2026/05/28/ai-slashes-white-collar-jobs-salesforce-ceo-marc-benioff-one-department-still-hiring-sales/,Fortune,2,#채용;#주니어파이프라인;#화이트칼라,베니오프 지원인력 9k→5k·반대 베팅=신입 확대
hbr-ai-intensifies-work-2026-06-16,2026-02-01,'AI는 일을 줄이지 않고 강화한다' — 업무 강화 담론,https://hbr.org/2026/02/ai-doesnt-reduce-work-it-intensifies-it,HBR,2,#업무강화;#번아웃;#변화피로,workload creep·인지피로 진단(논지 인용)
mckinsey-state-of-organizations-2026-2026-06-16,2026-02-24,맥킨지 '조직 현황 2026' — 86% 'AI 일상화 준비 안 됨',https://www.unleash.ai/strategy-and-leadership/mckinseys-the-state-of-organizations-2026-research-three-decisions-to-make-now/,McKinsey,2,#조직준비도;#고성과문화;#장애물,86% 미준비·75% 문화구축 난항(HRZone 검증)
skt-ax-innovation-2-ai-agent-identity-2026-06-17,2026-06-16,SKT AX 혁신 2.0 — AI 에이전트에 사번·직무·권한 부여,https://news.sktelecom.com/226646,SK텔레콤 뉴스룸,3,#AI에이전트;#조직운영;#거버넌스;#AX,AI 에이전트를 업무 주체로 관리하는 조직 운영 사례
sk-ax-agentic-enterprise-2026-06-17,2026-06-16,"SK AX, 에이전틱 엔터프라이즈 — AI를 도입하는 기업에서 AI가 일하는 기업으로",https://www.skax.co.kr/company/news-room/sk-ax-ai%EA%B0%80-%EA%B8%B0%EC%97%85%EC%84%B1%EC%9E%A5-%EC%9D%B4%EB%81%84%EB%8A%94-%EC%97%90%EC%9D%B4%EC%A0%84%ED%8B%B1-%EC%97%94%ED%84%B0%ED%94%84%EB%9D%BC%EC%9D%B4%EC%A6%88/,SK AX,3,#에이전틱엔터프라이즈;#운영모델;#사람AI협업;#변화관리,전사 운영모델과 사람-AI 협업 구조 재설계 담론
ft-accenture-hr-ai-agents-2026-06-17,2026-06-16,FT·액센처 — HR은 앞으로 AI 에이전트도 관리해야 한다,https://www.ft.com/content/bbf57e46-51ef-4013-8f09-8391fb69e6f1,Financial Times,3,#HR;#AI에이전트관리;#리더십구조;#신입채용,AI 에이전트 관리 소유권이 HR과 리더십 구조로 확장되는 신호
sap-early-talent-ai-reset-2026-06-17,2026-06-16,SAP — 엔트리 레벨 축소가 미래 인재 파이프라인을 잠식한다,https://news.sap.com/2026/06/early-talent-hiring-and-development-major-reset/,SAP News,3,#초기경력;#채용전략;#인재파이프라인;#AI업무재설계,AI 시대 신입 직무와 훈련 경로 재설계 논의
randstad-ai-fluency-career-currency-2026-06-17,2026-06-16,Randstad US — AI 유창성이 승진·초임·직무 재분류의 새 기준이 된다,https://www.randstadusa.com/about/press-room/press-releases/ai-fluent-professionals-secure-promotions-faster/,Randstad US,3,#AI리터러시;#보상;#직무재분류;#노동시장,AI 유창성이 경력 성장과 보상 프리미엄으로 연결되는 노동시장 진단
cj-onstyle-claude-enterprise-ai-native-2026-06-18,2026-06-17,"CJ온스타일, 클로드 엔터프라이즈 전사 도입 - AI 네이티브 전환 가속",https://cjnews.cj.net/cj%EC%98%A8%EC%8A%A4%ED%83%80%EC%9D%BC-%EC%B1%97gpt-%EC%87%BC%ED%95%91-%EC%9D%B4%EC%96%B4-%ED%81%B4%EB%A1%9C%EB%93%9C-%EC%A0%84%EC%82%AC-%EB%8F%84%EC%9E%85-ai-%EB%84%A4/,CJ 뉴스룸,3,#AI도입;#AI네이티브;#업무방식;#조직문화,전사 공식 AI 플랫폼 도입과 고객경험 업무방식 조직문화 재설계
douzone-one-ai-labor-agent-2026-06-18,2026-06-17,"더존비즈온, ONE AI 노무도우미 출시 - HR 컴플라이언스 에이전트의 확장",https://www.hankyung.com/amp/202606172208P,한국경제/더존비즈온,3,#HR테크;#노무;#컴플라이언스;#AI에이전트,법령 판례 사내규정 기반 노무 질의와 컴플라이언스 지원
kore-ai-agent-productivity-index-unmanaged-risk-2026-06-18,2026-06-17,Kore.ai 설문 - 기업 AI 에이전트의 미관리 리스크가 운영 부담으로 부상,https://www.kore.ai/news/new-kore-ai-survey-72-of-enterprises-say-their-ai-agents-operate-with-unmanaged-risk-and-create-new-operational-burdens,Kore.ai,3,#AI에이전트;#거버넌스;#운영리스크;#권한관리,400명 이상 IT 비즈니스 리더 설문에서 72%가 미관리 리스크 응답
spelmancollege-ai-onboarding-cupahr-2026-06-18,2026-06-16,"Spelman College, AI로 온보딩을 표준화·개인화",https://www.cupahr.org/resource/how-spelman-college-is-using-ai-to-transform-onboarding/,CUPA-HR,3,#온보딩;#HR;#관리자루틴;#문화전달,AI를 관리자 체크인과 역할 기대치 요약에 적용한 HR 사례
shrm26-digital-workforce-agentic-ai-2026-06-18,2026-06-17,SHRM26 - CHRO가 디지털 워크포스를 소유한다는 논의,https://www.shrm.org/executive-network/networking-events/experience-at-annual-conference-expo,SHRM,2,#CHRO;#디지털워크포스;#에이전틱AI;#HR,생성형 에이전틱 AI 운영화와 HR의 디지털 워크포스 소유권 논의
sendbird-ai-readiness-101-2026-06-18,2026-06-17,센드버드 AI 레디니스 101 - 조직·인프라·전략 준비도 담론,https://www.mk.co.kr/news/it/12076066,매일경제,2,#AI레디니스;#조직준비도;#AI에이전트;#운영전략,AI 에이전트 구축 전 조직 인프라 전략 준비도 점검 프레임워크
hbr-ai-agent-teams-model-diversity-2026-06-19,2026-06-18,HBR - 서로 다른 모델로 AI 에이전트 팀을 구성하라,https://hbr.org/2026/06/the-strongest-teams-of-ai-agents-will-be-built-using-different-models?ab=HP-topics-insight-center-image-19,Harvard Business Review,2,#AI에이전트;#조직설계;#디지털워크포스,에이전트를 workforce 일부로 보고 다양한 모델 조합을 설계하는 관점
fortune-ai-spending-cost-discipline-2026-06-19,2026-06-18,Fortune - AI 자유사용 국면의 비용 점검,https://fortune.com/2026/06/18/ais-free-for-all-phase-may-be-coming-to-an-endas-companies-start-counting-the-cost/,Fortune,2,#AI비용;#ROI;#거버넌스,전사 AI 사용 확산 이후 예산 통제와 성과 점검 담론
adecco-ai-candidate-interactions-2026-06-19,2026-06-11,Adecco - AI 후보자 상호작용 100만 건 돌파,https://www.adeccogroup.com/our-group/media/press-releases/adecco-surpasses-one-million-ai-powered-candidate-interactions,Adecco Group,2,#HR;#채용;#AI에이전트;#프로세스재설계,채용 라이프사이클 7단계에 AI 에이전트를 적용한 사례
hbr-chinese-ai-firms-customer-habits-2026-06-19,2026-06-18,HBR - 중국 AI 기업의 고객 습관 전략,https://hbr.org/2026/06/lessons-from-chinese-ai-firms-on-owning-customers-habits,Harvard Business Review,2,#전략;#AI서비스;#고객습관,모델 경쟁보다 고객 루틴 속 AI 내재화 전략 강조
accenture-ai-threat-q3-2026-06-19,2026-06-18,Accenture - AI 위협 속 컨설팅 모델 압박과 OT 보안 베팅,https://www.ft.com/content/9f063b07-da39-4feb-92ab-ee0f91385c62,Financial Times/Accenture,3,#전문서비스;#AI전환;#컨설팅;#전략;#OT보안,신규 수주 감소와 Dragos runZero NetRise 인수를 함께 본 전문서비스 전략 이슈
cognizant-pearson-entry-level-ai-tasks-2026-06-19,2026-06-18,Cognizant·Pearson - 인도 엔트리 레벨 업무 37%가 AI 수행,https://news.cognizant.com/2026-06-18-37-of-Entry-Level-Tasks-in-India-Already-Done-by-AI%2C-Finds-Cognizant-and-Pearson-Study,Cognizant/Pearson,3,#초기경력;#채용;#AI역량;#관리자역할,미국 영국 인도 HR 리더 750명 설문 기반 초기경력 직무 재설계
salesforce-bobbi-agentforce-policing-2026-06-19,2026-06-18,Salesforce - Bobbi AI가 경찰 비긴급 접점을 재설계,https://www.salesforce.com/news/stories/bobbi-agentforce-transforms-law-enforcement/,Salesforce,3,#공공서비스;#AI에이전트;#인간개입;#업무재설계,비긴급 문의 자동화와 고위험 상황 인간 상담원 연결 설계
younglimwon-erp-ai-data-hub-2026-06-19,2026-06-18,전자신문 - ERP가 AI 시대 기업 데이터 허브,https://www.etnews.com/20260618000186,전자신문,3,#ERP;#데이터인프라;#AX;#MIS,통합 데이터와 솔루션 연동이 AX의 전제라는 국내 MIS 논의
cognizant-servicenow-agent-orchestration-2026-06-19,2026-06-18,Cognizant·ServiceNow - 멀티 에이전트 오케스트레이션 연동,https://news.cognizant.com/2026-06-18-Cognizant-expands-cross-platform-agentic-AI-with-new-ServiceNow-AI-Agent-interoperability,Cognizant/ServiceNow,3,#AI에이전트;#오케스트레이션;#거버넌스;#엔터프라이즈AI,ServiceNow 에이전트를 Neuro AI 오케스트레이션 계층과 연결
hbr-agentic-systems-implicit-rules-2026-06-20,2026-06-19,HBR - 회사의 암묵적 규칙을 중심으로 에이전트 시스템을 설계하라,https://hbr.org/2026/06/how-to-design-agentic-systems-around-the-implicit-rules-that-govern-your-company,Harvard Business Review,3,#AI에이전트;#조직암묵지;#업무재설계;#운영모델,에이전트 AI를 조직 암묵지와 예외 규칙을 드러내는 변화관리 렌즈로 해석
bcg-team-led-agentic-transformation-2026-06-20,2026-06-19,BCG - 에이전트 AI 전환은 중앙 프로그램보다 팀 주도 재설계로 확산된다,https://www.bcg.com/publications/2026/agentic-ai-turns-every-team-into-its-own-transformation-engine,BCG,3,#에이전틱AI;#팀주도변화;#CHRO;#조직설계,AI 전환 병목을 기술보다 팀 역량 권한 조직설계로 진단
mk-ai-director-fiduciary-duty-2026-06-20,2026-06-19,매일경제 - AI 활용이 이사의 충실의무·경영판단 기록으로 들어왔다,https://www.mk.co.kr/news/society/12078725,매일경제,3,#AI거버넌스;#이사회;#충실의무;#경영판단,AI 산출물 검증 기록 기밀관리 이사회 책임을 다룬 거버넌스 세미나
ubion-ai-productivity-worktime-2026-06-20,2026-06-19,한국경제 - 유비온 AI 생산성 혁신을 근로시간 단축과 연결,https://www.hankyung.com/article/202606196426O,한국경제,3,#AI생산성;#근로시간단축;#업무자동화;#직원경험,AI 자동화 성과를 주38시간제와 생산성 환원으로 연결한 국내 조직문화 사례
info-tech-live-ai-execution-governance-2026-06-20,2026-06-19,Info-Tech LIVE 2026 - CIO 의제는 AI 채택 증명이 아니라 실행 규율,https://www.prnewswire.com/news-releases/info-tech-live-2026-draws-thousands-of-cios-to-las-vegas-to-tackle-ai-execution-and-enterprise-value-302805615.html,Info-Tech Research Group/PR Newswire,3,#CIO;#AI실행;#에이전트거버넌스;#MIS;#DX,에이전트 AI 확산 이후 전략 거버넌스 데이터 준비 실행 모델을 CIO 의제로 제시
